Reviewer,Review
FDKamal,"I know this much that it was a Boeing 737. All 250 seats were completely full, prompt service with a savoury and a sweet served with juices (it is an hour long flight so serving tea/coffee in such a short time did not seem feasible). You can get lovely tea and coffee at the compact yet airy departure lounge (have to pay for that, of course). It is a very interesting airport, from the lounge to the plane you take the ferry bus which takes nearly 5 or more minutes to arrive at a plane which you cannot see or hear from the lounge! It is a strange high altitude desert and the airport does complete justice to its story-like appearance (I refer to James Hilton's Lost Horizon). I was pleasantly surprised to find neat and clean aisles, seats, folding tables, infact everything in full working condition. I had gone onto a PIA expecting the worst and thankfully got the best. And what a sight is it to see from above. I just wish the sound system or the pilot spoke a bit more clearly so that I could be sure that the mount I was looking at was really Nanga Parbat. Remember to say a quiet prayer for the lost souls buried atop that breath-taking beauty. Skillful pilots and a beautiful flight. Long live Pakistan and bravo PIA."
Lady Satti,"Sadly the only reason I flew with this airline because it’s direct to Pakistan. Unfortunately the aircrafts are old & tired, no movies, the food was abysmal & the crew were totally dead behind the eyes .. service was horrific and the safety standards were non existent Which is scary being ex crew. Over head stowages opening after take off & Landing, luckily nothing flying out. Passengers trying to get up once aircraft had landed and the crew didn’t say anything .. Not a airline I would recommend until things change"
Akber Choudhry,"The quality of the interior and the service may be below the standards of Gulf airlines, but the direct connections between cities in Pakistan and Europe and North America are second to literally none -- there are no other direct routes. The time saved is worth it. There are some recent problems with entertainment systems so please carry your own entertainment and reading to keep yourself occupied on those long routes."
Babbarali,"So i travel frequently with my family and we regularly use Pakistan International Airlines (PIA) the national carrier for Pakistan. This time around we were pleasantly surprised to see very good quality service on board the flight. The flight attendants were quite vigilant throughout the 7 1/2 hour flight and assisted us and my two kids (3 and 6) with smiles on their faces. To top it we had execellent quality food served at decent hours during the flight and were spoiled for choice. The menu has been increased to options of lamb, chicken, fish, kids and European. With British Airways having restarted their service to Pakistan recently and huge numbers of tourists coming into Pakistan, I think PIA realized and drastically upped their service a few notches. Since the flight is a direct flight between Pakistan and England, I would recommend it over and above Etihad, Emirates, Qatar and all other indirect flights. Considering British Airways was not able to take off on time and landed late in London (on the day of our PIA Flight) and PIA took of and landed as per schedule, I would recommend PIA to all incoming and outgoing passengers. Be warned though that their is no inflight entertainment, however this was not an issue for our family as technology has allowed us to keep our own ipads and smart phones equipped with latest downloaded movies on netflix on the 7 1/2 hour journey."
Ali Raza Khan,"Being a very frequent traveler to Dubai, I had switched to Emirates after a couple of initial disasters with PIA and Air blue. Due to the PKR devaluation, gave another try to PIA. Pros; - Flight was on time - Service has improved - Cheaper airfare Cons; - Old aircraft - Cramped for space - No pillows or sheets - Extremely uncomfortable seats - No in flight entertainment Overall : 6/10"
hafiz hasnain s,Flight was late 2 hours. Rude staff. They don’t know how to talk. They don’t know about service. This airline is worst airline. I will never use this airline
~FA*,PIA operates old aircraft but their service has substantially been improved in the last few months. Food quality is better now. The attitude of staff is improved.
Hamayon,From London to Kabul My baggage was lost for a few days. From Kabul to London My flight got cancelled. I am stuck in Kabul Avoid PIA
Ali Zaib,Best Flight dealing very good i prefer to fly with PIA it coming back in his original good position soon.
Curious50810926788,"I arrived at Jinnah Airport in Karachi after 3 international flights that went smoothly and all on time. I only needed a domestic flight to Islamabad, and when I arrived they said all the flights for the day were cancelled. They initially were giving me only a 4 pm flight the next day. I had to go to the main office and explain that I was alone and was meeting my family in Islamabad. Most people were unhelpful and unsympathetic, but one or two were helpful and helped me get a 7am flight the next day. PIA refused to pay for my accommodations overnight despite the fact that I was stuck overnight because of them. They also wouldn’t help me in finding another same day flight with another airline. I luckily had relatives in Karachi that helped me and I stayed with them. The next morning I came to the airport and the credit card on my booking was not correctly listed. Despite the fact that I was carrying the credit card that I paid for the flight on there was some error in the booking and they were telling me they wouldn’t let me on the flight. I had to argue, and most people again were unhelpful. They said the problem was my fault. After trying a few different people, I found one employee that helped me sort out the problem and I got on the flight. I had a tour through the north that day at 9 am and just barely made it on time. Never using sky tours or PIA again!"
shafiq1969,"I should have written this review years ago but my patience has worn thin. PIA used to be the pride of Pakistan and now it is the shame. The aircraft's air-conditioning system did not function. The crew told me the system had been malfunction for months but the ground staff were not willing to deal with it. The staff are always busy doing their own thing and at times extremely rude to passengers. I witnessed a female attendant leaning on a seat whilst she watched passengers struggle to find space the overhead cabins, nodding her head in disbelief at how they were unable to push their bags in to the space available. Her tone was rude and her whole attitude was poor. I won't blame the cabin crew entirely for their poor performance. The problem stems from the way the airline is managed. Some of the cabin crew staff have probably worked for the airline since the 80's and 90's. They are old school and with so much experience, probably complacent that no action will be taken against their poor performance. Years ago, i was about to board a flight from Islamabad to Manchester and with only an hour to take off a message appeared on the screen suggesting the flight was delayed. Hours went by and one bothered to come to the lounge to give any update. It was hot, passengers were getting impatient and some were become agitated. Five or six hours later, we discovered the plane bound for Manchester had been re-routed to Saudi to collect Haj pilgrims as their plane had broken down. What a shambles, i thought to myself. What can i say, we were left stranded at the airport and finally after a lot of abuse and arguments someone decided to feed people with the poor food that was available in the lounge. I have a lot to tell you but I feel it's pointless to complain. I have written to PIA many times and never received any response. Sometimes I feel, there is a design behind this madness. PIA has been set to fail, i feel. Why? I am not sure. Who benefits? Again not sure but I do know this, Pakistan had many routes, Karachi used to be a connecting hub for many airlines and now it isn't. Dare I say anymore. I caught two chaps smoking in the toilets. Went over to the flight attendant and gave their seat numbers. No one bothered to come and reprimand the idiots. The in-flight entertainment system is a shambles. 7.5 hours from Manchester to Islamabad and back, no air-conditioning and no entertainment. Staff never bothered to walk through the aisles and offer drinks, instead they let people walk up to the cabin crew and take whole bottles back to their seats, leaving little for others."
Umerah R,Poor service. Flight delayed for over 3 hours long. We were sat hungry and thirsty for ages.Every other airline sets off on time however pakistani airlines always sets off late. It shows that they are not a reliable service!
nayandutta,"Poorest Pakistani airline service. Awful people, poor food quality, mosquito and cockroaches, and what not."
14zeeshans,What a disgusting experience. I've never met such rude staff in my life as much as the ones I met in Manchester. One of the pia workers was called mr. gaffar and he was the most detestable in his manner towards not one but two customers on the same day. My son is travelling on the 7th of June for the first time on a Pia flight.. hes going to be sorely disappointed.
Dr. Zaheer Ahmad Qureshi,I booked PIA as I was late to Umrah and all other airlines were booked or very expensive. Booked Executive Economy which is termed as Business for PIA. I would not recommend PIA even if they are giving business tickets on economy price. Food was a buffet but okay. Welcome Drink served. The flight was delayed. Check-in was bad. The best thing was recliner seat so we can sleep.
Amina I,Another disappointment whilst traveling back from Pakistan yet again no inflight service so time was passing slow! Asked for water and didn’t get it!! Unfortunately I think PIA have lost a customer!
Amina I,I like to travel on the airline of the country I am going to visit. Unfortunately in flight service was not working and 7 hours was hard to pass. Food wasn’t to business class standards only consolation was the seats were comfortable... overall disappointed at the service of PIA and for the amount of money paid I don’t think I will waste my money next time!
SOQ2010,"Entertainment ,for 13 hours we watched the Gandhara art poster.Checkin was slow ,boarding was chaotic.Good points are it was punctual andno baggage loss."
Nadeem B J S,This airline was or is my least choise . But this time few things are good. Check in line was in bad shape. Business class counter was full of economy and protocol people . Flight was in time . But from Lahore it is bad time so breach evening . All day gone . From Dubai to Lahore time is 12pm . Again day is lost . They must improve their timing . Staff is just ok . Food is good . Value of money has no match .I mean over expensive like Rs 79000 lhe to dxb and back .
TahiraSajid,The airport staff was very courteous. The staff in the plane was very efficient and helpful. A clear difference from my past experience was noted. I don’t like chicken and I was given a vegetarian option promptly. Level of cleanliness was also better.
rizwan a,"I purchased a ticket from a travel agent, went to the airport but was told that I could not check in because I purchased the ticket at a cheaper price and PIA wanted £250 more before I would be allowed to board. I spoke to PIA on the phone and was told that someone was willing to pay the full amount that they wanted for my seat and if I didn't match the price I would not be allowed to board, in the end I purchased another ticket this time with Emirates and flew out a few days later I will never be using PIA again."
Maham786,"Overall This Was A Decent Flight I Went In July 2015 And I Didn't Really Like The Food, But I'm Sure Some People Would Like It, As Of Now (April 2019) McDonalds Food Is Being Severed As A Dish, From Toronto, Ontario To Karachi, Pakistan It Would Take At Least 17 Hours"
Tasneem R,I flew with my daughters from Manchester for a trip to Lahore. I experienced an excellent service with very polite and very attentive staff.The flight was excellent there and back. The food was delicious and drinks were served on demand.The only thing I would change is the uncomfortable seats so I rolled a shawl to cushion my lower back and that PIA needs new in flight entertainment..nothing worked but luckily we had our phones and tablets.
sametahir,There are no other options available. We have to fly with PIA weather you like it. The food quality is very bad. The air hostesses are not that smart they are rude and useless.
sgaundal,Flight was on time. There was comfortable seats in the aircraft 777. LCD on the seat was not working. Meal was average. Only option was rice chicken. The bathroom was just functional. There was bad smell from the bathroom. I reached timely on my both destinations. I think it is still a preferred flight than other local flights. staff was good and curtious.
Aizad A,"The boarding on the flight was on time. There was ample leg room in the seat in the aircraft 777. It is an older plane. The TVs at the seat do not work all over the plane. So take your own electric devices and earphones. Dinner, snack, and breakfast was OK. The bun was stale. A little too much salt in the omelette. They offered chicken but when we asked, we got mutton. I took a sleeping pill, had my earplugs, and eye covers and slept for around 6 hours. The bathroom was just functional, not much fancy. In the last 2-3 hours, there was bad smell from the bathroom. Anyway, we reached 1 hour early at Lahore. It is very convenient to be a direct flight and saves time and effort. So it is still a preferred flight."
Noshad A,"Worst Airline Service. Terribly bad. It was delayed for 13 hours from Dubai to Islamabad. Then another terrible thing happened to me two times. I went to Chitral 6 months back and a week ago, my luggage was not carried with me. Upon asking, the PIA personal stated they can either offload the passenger or their luggage. They are very stupid. I would never recommend PIA"
Sarah,I hate pia they are such idiots and our flight got delayed for 24 hours and they do nothing. It has been 4 months since we came back and we have emailed them and they still haven't replied back. I highly recommend never to use pia EVER. If you have used pia I feel your pain and if you haven't please do not use it. And last thing their flippin TV's do not work and if you have children what are they supposed to do. Ps: due to their bad costumer service and rude flight attendants we have made the decision to never use pia ever again.
Nomad726335,The customer service is none existence..after taking your money they do not want to know. Awful customer service experience unwilling to help. No consideration for elderly people... no respect. People only use them due to direct flights. Rubbish airline
A K,We are family of six and supposed to be flying on 06/04/19 at 20:45 from Oslo to Islamabad via PK772. But they've cancelled the flight and put us in a really bad situation and worst thing is we have been told to collect the all luggage also which was nightmare and sent us in to a hotel. About 250 people are effected badly and today is 07th April 19 and still no sign of flight yet. I would never choose PIA again at any price. If you are flying to Pakistan Please please don't choose pia otherwise they'll put you in a very bad situation. Book any other flights apart from pia because other airlines are responsible and have customer care manners. Prime minister Imran Khan should privatise or hand over pia to some neutral company.
Hamza T,"Based on my recent travels to Pakistan and back to Canada; this by far was the worst experience I have ever had. No pillows, no blanket, the food was so terrible and very very uncooperative staff. I would advise no one to experience what I have gone through. And to travel with another airline other than PIA"
OrientalCarpets,"I travelled from Doha, Qatar to Islamabad, Pakistan at the beginning of March 2019. The flight was fully booked as the airports in Pakistan recently opened after the shut down due to the escalated tensions with India. I was surprised to by upgraded to business class since many economy passengers where at the airport hoping to get a seat on chance. The travel time was around 2 hours and I really enjoyed the experience. The meet and greet by the crew was warm and friendly. The leg space and seat comfort was acceptable for the type of aircraft. The food menu had mainly local traditional cuisine which was tasty. I was interested to experience the new International Airport at Islamabad and found it upto par with international standards. I liked the decorations of traditional truck art that are displayed on the walls at the luggage claim. I would suggest adding extra toilets for passengers at the luggage claim as there is always a waiting line."
A Tauqir,"It is a big relief whenever a PIA flight is on time. There was a lot of turbulence due to bad weather but that's not anybody's fault. Their staff is usually courteous. The seats of the air bus are highly uncomfortable and the FOOD, THE FOOD delivered during flights needdddss a change now. It is the same old menu for ages now. I don't want it to be lavish but they can at least experiment with some variety."
Mallah B,"I have flown with Pia many times I have yet to experience good service from them. The crew have no interest whatsoever in giving that giving a personal touch to them it,s just a job. The plane was ok but the crew let them down. The food is just basic with a never changing menu.when I asked for a second coffee as I don,t drink tea they said they had run out of coffee. Overall they aren,t interested in their passengers no service with a smile."
H.M,"The only reason why people travel with PIA is because it is direct. However, I would rather have a connecting flight if it means that I don't get mouldy food, crying babies and the most awful customer service."
Shezine,"They use their monopoly of the direct flight to PK to secure bookings. Nobody in their right mind would use PIA if it wasn't the fact of direct flights. Disgusting attitude for flight attendants, obviously no training was given around customer service. I cannot believe how disrespectful their staff are. NO in-flight entertainment which is ridiculous for the most expensive flight carrier to PK. Their prices are way over the top (with service received) compared to some premium carriers (i.e Emirates, Etihad, Turkish). Flown Etihad last couple of times and I must say, WOW. The service and quality made up for the stopover. I would certainly like to help my fellow countryman but you guys need to start treating people a little nicer. Maybe, just act like human beings :). Come on PIA, I think a revamp of your staff is in order. Also, you need a Tech team to sort out your in-flight entertainment. If you can't manage that then please start having other carriers flying"
flyfisher66,"It is becoming a dream now to travel with PIA without facing an issue. Just two days back, I had a very good experience during check in and I explicitly mentioned it in my review. This time it was the other way. Two of us had three baggage, a duffel bag weighing 16 kg, a medium size suite case weighing 12 kg and a carton weighing 4 kgs. I was carrying a hand carry weighing around 5 kg and my friend was carrying nothing in hand. We were told that though our total weight for 2 tickets (32 kg) is well within our permissible limit of 40 kg, we can only book two items in the baggage. We told the person on the counter that the third item is a small carton weighing 4 kg only and that our total weight is well within our authorized limits. But the guy kept saying that he can only allow us two bags, no matter what the weight. And then, he came up with a startling solution that my friend who wasn't carrying anything sould carry the medium sized suite case (12 kg) as hand carry. We tried to tell him that this suite case is well over the permitted weight for hand carry (7 kg) and also, it is a bit oversized too and may not fit in any of the compartments but he refused to accept our logic and kept insisting that he has to follow rules. We finally gave up against his logic and my friend had to carry an oversized over weight case as hand carry. The cabin crew, rightly so, objected to the size and had to make extra efforts to fit it in one of the compartments. Withoug being clear on the rules themselves, PIA staff nowadays is getting unnecessarily strict on implementing the rules, that too their own way. We found absolutely no logic in allowing a 12 kg oversized hand carry and permitting two item in the booked baggaged weighing 16 kg and 4 kg respectively when the weight authorization was 40 kg; on the pretext that two of us are allowed to book two items only. This is poor professionalism. The leg space in this aircraft was very good and we faced no problem on that count. There was no arrangement for inflight entertainment. The flight time was 1 am, the lunch time, but we werent provided lunch rather were served with light snacks. In the same amount or less, other airlines in Pakisan do provide lunch or dinner during domestic flights. PIA needs to look into this aspect."
flyfisher66,"I had terrible experiences during checkin on my last four flights with PIA but this time, it was a pleasant surprise. I requested for a change of seat and the gentlem said that though none is available but if I wait for 15 minutes, he might have a seat. I sat in the lounge and in 15 minutes, the guy came himself with a new boarding pass having a seat of my choice. This was high professionalism and very good customer care. Few other passengers also mentioned an improvement in customer service which is heartening. During the flight, there was no in flight entertainment. As for the food / beverages served, the standard was quite mediocre and most of the items served were cheap and ordinary. I really feel that PIA charges enough during domestic flights to serve its customers with a decent meals / cup of tea."
rahatali266,Really very good service😃excellent staff flight conditions is very good I like to travel again with Pakistan airlines thanks PiA
Ahsan Jalil,"I lived with PIA terrible service since I started flying around 20 years ago. But put up with this terrible airline just because it was the only direct flight to Lahore from London. But now it has come to the lowest possible standard that I had to write this review. You could clearly see the corruption has eaten this once great airline from the core. The flight crew and check in staff, you can see corruption and nepotism written all over their faces Customer services is non-existence, those who have travelled in local buses with service crew can rest assured that those people are much more well mannered and behaved than these illiterate people. Aircraft seems never cleaned, and that dirtiness reflects on the staff faces as well. They charge you premium fare for being a direct flight and provide you with the filthiest service possible. There is no entertainment system in flight."
Shawn M,"friendly staff,, hope its improves better ,, pakistan airline is the best its way better than indian airlways"
Jandre,This is next to China air. Don't do it. Take Shaeen at a min. I remember when PIA started and helped build Emirates into what it is today. Unfortunately PIA got the short end of that stuck and isn't much different from China Air. It is a safety issue at a min.
Nadeem B J S,It's executive economy is good. Seats are ok batter the Oman eco.this time staff is good and food is also good . Big benefit is direct from Lahore to London 8.20min . Most of the time it is delayed . Do get fast track card from Pakistan. The don't give it in plan
Kamran W,"I flew with PIA after a decade and was expecting a rubbish experience as the only reason I decided to fly with them was the direct flight (British airways starting soon as well btw) I was actually pleasantly surprised, The staff were really friendly and helpful, the food was good (as good the plane food can be) The flight was on time and we arrived 10mins before the scheduled time All the tv screens were turned off which I guess is because most of them were faulty so to stop people asking them to fix theirs , they just turned them off I think but most people had their own phones and tablets to use but in the future they definitely need to sort it out which I think they will as they’re buying new planes I\’ve heard. Overall not a bad experience for me especially when I was expecting the worst service possible but I think they’re trying to make an effort, let’s see"
ADNAN,Its just good but not excellent service compare to other Airlines. Food given by Airline is just okay.
SarahKTravels,"We flew Economy Plus to Madinah and it was my first international PIA flight in over 2 decades. I was blown away by the kindness of the staff. Their helpful and friendly attitude, smooth take off/landing and overall value for money. Yes, the plane did feel a bit worn out but everything worked fine. Moreover, the economy plus seats were those of the business class section and were able to recline to almost a full 180°. (This was not the case for our Jeddah to Islamabad flight where the economy plus seats simply offered more leg space and comfortable seats, as is the nnorm. There was no inflight entertainment so if you're traveling with children or on a long haul flight, that's something to plan for in advance. I did not have the food but those I travelled with said it was piping hot and pretty decent, so I'll take that as a plus. Other options to fly to Madinah included layovers in the UAE so this direct flight was perfect for our needs. Look forward to flying with them again!"
Terry I,Staff n flight great However put my books in luggage only to find I was on an 8+ hours flight with no inflight movies. Can u imagine just sat that long with nothing to read except or see except inflight magazine or emergency information card or the outside of the sick bag
maheen i,Worst terrible ever flight staff was good pilat and time of flight was perfect no complaint about them but no facilties worse food ever children were bored it was horrible time smelly seats and no cleaning everythg else was disgusting. Nothg else to say.
Atif,Pia new online webtickting system is very rubish because i apply for ticket on pia website and system deduct amount from my account butt till now 3 days not ticket not refund and call centere said just wait we are checking. Very very poor system.
@pakistan123,"Living in Pakistan, I've been travelling with PIA a lot! It's really good! Sometimes, you may face some problems, but that's not very often! I recommend it!!"
Shafina A,No in flight entertainment informed that they have been out of service for over 3 years and they won't provide any earphones if your did by chance . Endured very bored kids making it a noisy flight. Food cheap and chearful and bland. Breakfast probably cost them £2. Paid over £600 for the flight. Seats and planes outdated. Only fly using them if you have too.
Hur H,"PIA cancelled my ticket without informing me and I was only told on the day of my departure. I was then asked to purchase another ticket to not to miss the plane and was informed that the airline will reimburse the money. I trusted the staff and the airline and purchased another ticket at the airport on 28th of December 2018. Today is 1st of February and PIA is holding my two payments for one flight to Islamabad. In total it cost me GBP 538.21 + 1,162.51 = GBP 1,700.72 for economy class ticket with PIA. The customer service is extremely bad and no action has been taken so far which means some of my business also got affected."
Muhammad AsifAli,Low fare flights for dubai. Flight delayed by 2 hours. Flight Information cell informed me about the delay of flight when i was standing in q at airport for boarding.
Sobaan,"From BHX to ISB, everything was fine. BHX airport has numerous shops and restaurants and there were no delays with boarding. The food they served was lacklustre; bland chicken and rice and burger/sandwich. Drinks option was fine. Worst thing was having NO IN-FLIGHT ENTERTAINMENT. The PIA website boasts of having IFE, but all we had a was a very old and small screen at the back of the seat that only displayed flight information. 6 years ago, we had the option to watch videos/movies, but that, for some reason, is gone. I do not know who would like to view the flight's speed or altitude; after a while, it gets incredibly repetitive and frustrating. In fact, the pilot even said ""We have IFE for your entertainment"" - I do not know how on earth flight information is entertaining. ISB to BHX wasn't as good. The new airport is indeed very big and modern, but there aren't that many shops there and only two food places that serve sandwiches and tea/coffee. Army members are littered across the airport, which is quite scary and unwelcoming. During security, they do nothing but stand there and watch you try to put your luggage onto the conveyer belt, then they tell you to push it into the x-ray machine yourself, while standing there smugly. No smiles, no manners, nothing. Then, they charge some sort of service tax and also charge us to print photocopies of our passport; luckily, I had some money with me. Boarding gates opened at 11:05, flight departure was at 11:50. Unfortunately, we were still waiting in the boarding area at 12:00 and then the announcement came saying delays until 13:00. Luckily, back-seat people could go early, and we entered the plane, which was sweltering! Eventually the plane went off after a delay of 1 hour. Again, lacklustre food, no IFE; sandwiches they served were hard; legroom was decent but not the best for taller people. Toilets were blocked often as well. If you fly by PIA, DO NOT expect luxury if you are going by economy. Expect delays, bad food, passive aggressive flight attendants, and no entertainment. THE ONLY good thing about PIA is that it goes DIRECT to Pakistan; otherwise, anybody foreign would never use it. Next time, go by Emirates, which has one layover, but much, much better services."
minsagirl,I flew to Pakistan with family young children obviously you would expect in flight entertainment nice food and airline facilities that work like the light the toilets the aircon the call button the only thing that works on PIA is the gas pedal and the brake pedal the rest of the things DO NOT WORK my daughter was so bored she luckily took her own entertainment to keep her occupied unlike some parents didnt I am surprised an airline like this is actually taking passengers back and forth without anything working they should be banned from flying never again would I ever fly with PIA never would I recommend the flight to anyone if anyone does want to fly it's under there own risk good luck the screen shows only 2km traveled even after 6 hours
Ember,Firstly the flight got delayed for 2 hours. There was no announcements about delay. When it finally started the food served was below average. Just a plain sandwich and brownie. People were sitting at the airport from 1pm without lunch and the service in the plane was poor and pathetic. Staff seem restless and angry. Without smile on their faces and speaking arrogantly with passengers.They were just doing their duty for the sake of duty. No hospitality or courtesy shown.
Masroor A,"I travelled from Toronto to Karachi with PIA PK 784, Jan 06,2019 with 2350CAD$ fare. Far high from other airlines. 1- They served Haram Dannon yogurt, 2- served used blankets, 3- Food quality was worst, bread was old. 4- No AC during flight. 5- Staff was tired and bored to serve. 6- in this direct flight juice was finished. 7-washrooms doesn't have accessories. Few washrooms were not working. 8- No entertainment. 14hrs flight and all TV were off and was not working. 9-Announement was worst or no announcement at all. 10- many lights were not working.Won't recommend this airline. Thanks Regards Masroor Ahmed Toronto, Canada"
MeggySS,"We arrived in Lahore for a 13 hour layover. Against our consent they removed our passports from us and questioned us intently about why we didn’t have a transit visa to enter the country. After an hour we were escorted to a transit lounge - a room full of metal chairs, a water cooler which was bone dry and disgusting toilets at the back. Security guards stood at both entrances to ensure we didn’t escape. We stayed in this room, with nowhere to sleep, no WiFi, and no access to our passports for 13 hours (t concerns me most). Periodically we were brought food by airline. Finally our time came to be escorted through the airport to our gate. We still did not have our passports in our hands, they were withheld from us by airline staff. We waited at the gate until the final minute, finally the airline escorted us to the plane and our seats and handed our passports over - not to us, but to the flight attendants. We had a short domestic flight to Islamabad and upon attempting to leave the plane with the rest of the passengers we were prevented from doing so. It took an hour of the pilot arguing with the ground staff before we were allowed to leave and then we were locked in a bus whilst they disputed our situation until finally driving us to the terminal and escorting us through the airport to the check in gate. This all sounds simple except we were marched back and forth through the airport, explaining the predicament repeatedly to staff who appeared to have never managed this situation before. Again, this flight was booked through PIA so none of this should be news to them. Three hours and counting, we are forced to pay an airport tax we weren’t previously told about, sent to get our luggage from downstairs, and we still do not have our passports. Immigration staff argued with us throughout that we should have a visa - we explained repeatedly we have not and will not leave the airport. Our final flight departed 2 hours late and (news to me!) stops in Beijing on the way. There is no running water on board -the toilets don’t flush, the taps don’t run and no one can wash their hands. We’re delayed in Beijing for 7 hours and the problem is still not fixed. We’re on the flight I believe for 16 hours in total. Cue the worst case of food poisoning I have ever experienced. For two days we only ate food the airline provided to us, so I’m certain it was contracted through PIAs poor hygiene. I won’t go into the grisly details, but I will highlight my point above that there is no running water on this plane. I apologise to my fellow passengers for adding to the misery. Thankfully, after 24 hours i was doing okay and able to move about. My boyfriend could not leave the hotel room for 3 days and only after we visited a doctor for an emergency appointment (and is prescribed 5 days of antibiotics, probiotics and rest) is he feeling better. Just in time for us to fly home! Our return flight isn’t much better, delays and then a 16 hour layover in Islamabad. It gets much worse, when after 2 hours of waiting for a staff member our passports were removed from us once more and we were escorted past immigration - against us repeatedly informing that we cannot enter the country, we do not have visas, all to the response of “no come with me I will sort it”. So we cross the Pakistan border illegally and again no one knows what is going on. We’re left waiting for 2 hours, alone without our passports, in the open lounge of arrivals 200 yards from the taxi rank. If we had wanted to illegally enter Pakistan (which we didn’t) they sure made it easy for us! They keep trying to say we will taken to a hotel, again it’s explained we do not have a visa to be here and it’s making us nervous. Eventually we are escorted back to departures with the aim of getting our boarding passes and some sleep. We l are promptly stopped by armed guards. We don’t have boarding passes or visas, therefore we cannot enter. We explain that staff brought us past security (which they deny!). The staff blame us, stating we entered the country illegally and we should have known better - I suppose we did, but not voluntarily and definitely not with any intent. We just wanted to be on the next flight home. Two hours later, after the changing of the guard and a tantrum on my part the Big Boss is called and he escorts us through security. We are told to wait, on two chairs, for 8 hours until we can check in. We still do not have our passports in our possession and we are not brought anything to eat or drink (not that we would have eaten what they brought us). Eight hours later and we are finally arguing with immigration again - we’re forced to pay another airport tax because we didn’t have a receipt from the last time - we are reluctantly given boarding passes and allowed through security, and escorted to our gate. Our passports are finally returned. The flight home, whilst delayed, has running water at least however no air conditioning. We declined to eat any food they offered and chose to fast instead. TLDR: The entire experience was a shambles, the airline clearly couldn’t manage transit passengers and no one knew what was going on. We felt like criminals and our passports were removed from us for 12-18 hours at a time. We got food poisoning from the food and there was no working toilets/running water on the flight and we had to access emergency medical attention because of it. I won’t be flying with PIA again, they haven’t offered an apology or even acknowledgement of what we experienced and I strongly warn others against flying with them."
Rifat B,Never travel by this air line mouldy food and terrible seats bad service. I told then I am pregnant and they said why did u travel maybe because I had to bury my mother in law. Disgusting.
Shehl,"The staff was very courteous, the flight was direct to Karachi and reached on time. Good food choices . the seats were comfy but some gadgets were not working. However there was plenty of empty seats in the business class"
Adventure292498,"The service has improved a lot,The crew was kind, courteous and ever ready to cater to your wish. The food was good.We got Breakfast,snack and lunch before arrival."
Arian E,"I read all the reviews before flying but still wanted to go with an open mind. I am so terribly disappointed with my flight. - the planes are in horrible shape. Seats ripped. Smelly, dirty. No inflight entertainment at all. - business class is so cramped. I felt like I was sitting on top of the person next to me. - my seat barely worked and when it did it was so loud. The poor woman in front of me had a seat that didn’t work at all. - usually the food is the only redeeming quality. But it was terrible. - I have no idea why there are 6 cabin stewards serving 35 business class passengers. They do nothing."
Aaliyah Sharif,The only reason we flew with PIA is due to the direct flight to ISB. The plane itself was old. The flight was delayed. No in flight entertainment. Food quality very poor. Rubbish not properly collected from previous flight. Overall extremely poor considering they charge in excess of £1000 for economy flights! Waste of money!
Aatmah M,"The only reason i take this flight is because of a direct flight from mamchester to lahore. Infotainment has not been working now for 8 years !!!.. Toilets are dirty, the tube light was lying on the floor ! Food was good and people were great!"
Nadia S,"Paid over £1000 for the ticket, boarded 5.15 pm, flight was supposed to leave at 6 pm however delayed till 7 pm. Once in flight, the food was served at around 8 pm. From the moment we boarded to the time we were served food (circa 3.5 hrs), not even a glass of water was offered to the passengers in spite of asking! Parents were seated in a different section to their young children, causing a massive uproar naturally. When parents asked for blankets for their kids, they were told to share because there wasn't enough to go around. On a 7hr+ flight there was also no entertainment facilities. All in all, mayhem and the worst flight I have ever experienced."
Matthew C,"What a farce for an ""international"" level carrier - it was a case of ""hurry up and wait""...Original flight scheduled for 1500 departure, Sat 22nd Dec 2018. On the morning of the flight at 1100 we get a call to advise the flight is rescheduled for 1200 (noon) departure!! Fortunately we were only 20min to the airport - but it was rather concerning that it was suddenly so early - and we prayed they would let us check in! We arrived and were able to checkin - advise - ""Don't worry, not to rush, it was still ok, the flight would leave a little later..."". When asked what the new time was it ranged from ""Its still saying 12"" to ""just go to the gate"". So we get checked and sorted and go to the gate expecting that they would be calling us to board anytime soon. At the gater - there is no one! No signs, no PIA staff, not even an electronic board to show the flight status. The only sign was 1 floor up, and it had said 12noon departure when we went past. Tried asking airport staff - who reported that the scheduled 1500 departure was still correct... and when I tired the PIA customer helpline, they said ""Speak to airport staff"".... So we went back upstairs and found the signs had been updated - flight delayed with a new scheduled time of 1430. So we go find some lunch and wait... Back at the gate by 1415...wait... 1450 they finally announce boarding. Get bused to the aircraft and everyone boards. Wait. Wait some more. We finally get pushed back at ~1530. So, all told, we were given the hurry up to be 3 hours early for the flight, when in fact it left 30min late!!! And - not even a mention or apology from a single PIA staff or a call back. The funny side was a call 30min after we had arrived to let us know the flight had arrived. Thanks - we figured that - given we were on it! I wondered whether taking the bus would be less trouble and get me there quicker...?"
Zafar M,On time. Reasonable service. Food was above average. Seats were not very much comfortable. Staff was cooperative
